t,profit,strategy_name,strategy_params,annual,Cumulative5yearprofit,Cumulative5yearhibzeroprofit,Hlbzeroannual
1825,-368279.3654,RogueTrees,45;0;3;0.0545;0.1,-213173.2379,-1074932.332,,
1825,-407708.3099,RogueTrees,70;0;9;0.0545;0.1,-219662.1483,-1072547.053,,
1825,-386488.8899,RogueTrees,70;0;6;0.0545;0.1,-215893.6683,-1060382.733,,
1825,-365269.4699,RogueTrees,70;0;3;0.0545;0.1,-212125.1883,-1057844.315,,
1825,-390099.8875,RogueTrees,135;0;9;0.0545;0.2,-214078.0889,-1055311.238,,
1825,-369477.7375,RogueTrees,135;0;6;0.0545;0.2,-210787.9589,-1047062.119,,
1825,-348855.5875,RogueTrees,135;0;3;0.0545;0.2,-207497.8289,-1052755.039,,
1825,-381260.4317,RogueTrees,105;0;9;0.0545;0.1,-213355.2505,-1057971.318,,
1825,-360042.1217,RogueTrees,105;0;6;0.0545;0.1,-209592.1105,-1053563.406,,
1825,-338823.8117,RogueTrees,105;0;3;0.0545;0.1,-205828.9705,-1060322.062,,
1825,-393427.0146,RogueTrees,135;0;9;0.0545;0.1,-216480.8784,-1067545.177,,
1825,-372200.9346,RogueTrees,135;0;6;0.0545;0.1,-212714.1084,-1060817.705,,
